*** Friday March 06, 2020  time: 17:09:58 ***

BaseApp constructor starting...
Using GLEW 2.1.0
OpenGL version: 4.6.0 NVIDIA 442.19
Has NPOT
glsl version: 4.60 NVIDIA
BaseApp constructor finished. Yay!


readPoint 2 0

lineFrag 0 6
readPoint 0 6

lineFrag 0 15
readPoint 0 15

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 0

lineFrag 0 6
readPoint 0 6

lineFrag 0 15
readPoint 0 15

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 0

lineFrag 0 15
readPoint 0 15

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 0

lineFrag 0 15
readPoint 0 15

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 0

lineFrag 1 14
readPoint 1 14

lineFrag 1 27
readPoint 1 27

lineFrag 1 42
readPoint 1 42

lineFrag 1 57
readPoint 1 57

lineFrag 1 69
readPoint 1 69

lineFrag 1 82
readPoint 1 82

lineFrag 1 91
readPoint 2 0

lineFrag 0 0
readPoint 2 9

lineFrag 0 15
readPoint 0 15

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 1 5

lineFrag 1 14
readPoint 1 14

lineFrag 1 27
readPoint 1 27

lineFrag 1 42
readPoint 1 42

lineFrag 1 57
readPoint 1 57

lineFrag 1 69
readPoint 1 69

lineFrag 1 82
readPoint 1 82

lineFrag 1 91
readPoint 2 0

lineFrag 0 0
readPoint 2 9

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 1
Miss!

lineFrag 1 20
readPoint 1 20

lineFrag 1 34
readPoint 1 34

lineFrag 1 50
readPoint 1 50

lineFrag 1 69
readPoint 1 69

lineFrag 1 91
readPoint 2 0

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 1
Miss!

lineFrag 1 27
readPoint 1 27

lineFrag 1 50
readPoint 1 50

lineFrag 1 69
readPoint 1 69

lineFrag 1 91
readPoint 2 0

lineFrag 0 0
readPoint 2 22

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 1
Miss!

lineFrag 1 27
readPoint 1 27

lineFrag 1 50
readPoint 1 50

lineFrag 1 69
readPoint 1 69

lineFrag 1 91
readPoint 2 0

lineFrag 0 0
readPoint 2 22

lineFrag 1 93
readPoint 1 93

lineFrag 1 120
readPoint 1 120

lineFrag 1 136
readPoint 2 0

lineFrag 0 0
readPoint 2 16

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 1
Miss!

lineFrag 1 32
readPoint 1 32

lineFrag 1 61
readPoint 1 61

lineFrag 1 91
readPoint 1 91

lineFrag 1 120
readPoint 1 120

lineFrag 1 136
readPoint 2 0

lineFrag 0 0
readPoint 2 16

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 1
Miss!

lineFrag 1 32
readPoint 1 32

lineFrag 1 61
readPoint 1 61

lineFrag 1 91
readPoint 1 91

lineFrag 1 120
readPoint 1 120

lineFrag 1 136
readPoint 2 0

lineFrag 0 0
readPoint 2 16

lineFrag 1 137
readPoint 2 0

lineFrag 0 19
readPoint 1 0

lineFrag 1 1
readPoint 2 1
Miss!

lineFrag 1 32
readPoint 1 32

